isolate	pub_id	Seg-1	Seg-2	Seg-3	Seg-4	Seg-5	Seg-6	Seg-7	Seg-8	Seg-9	Seg-10	host	country	collection_year	collection_month	collection_month_day	sample_type	place_sampled	tissue_sampled	passage_history	passage_cells	clinical_symptoms		
B.taurus-tc/ZAF/2014/Onderstepoort-BTV- 9_buffycoat_Bos_taurus_plaque2B	30551703, 27340051	KT885075	KT885076	KT885077	KT885078	KT885079	KT885080	KT885081	KT885082	KT885083	KT885084	Bos taurus	South Africa	2014	JUN	14	vaccine	Gauteng,Onderstepoort		BHK1BT1V1	Mammalian			
B09_blood	20557494										GU954426	Bos taurus	USA	2009			field	California	blood	BHK?	Mammalian			
B09_colostrum	20557494										GU954427	Bos taurus	USA	2009			field	California	colostrum	BHK?	Mammalian			
B1/1999	12604809										AF512914		India				field							
B105/YN/1996	29954892	MH346491	MH346492	MH346493	MH346494	MH346495	MH346496	MH346497	MH346498	MH346499	MH346500	Bos taurus	China	1996			field	Mangshi, Dehong District of Yunnan Province	blood			No		
B9/MBN/1994	UP							JQ414049			JQ424790	Ovis aries	India				field							
Bangalore	19936612		AY643507				AY643510	AY643512				Ovis aries	India				field	Banglore	blood 	BHK?	Mammalian			
BBF	22258368	JF443166	JF443167	JF443158	JF443159	JF443163	JF443160	JF443162	JF443164	JF443161	JF443165	Ovis aries	India	2006	OCT	10	field	Guntur-Andhra Pradesh	blood	E3BHK2	Mammalian			
BH141/7	UP										EU450662	Bos taurus	Germany				field		blood					
Bhakhar/2011/Ind/Hisar	UP		JQ904060									Ovis aries	India		FEB	20	field	Gujarat	blood	BHK?	Mammalian			
BLU-17 198	9612723		AF017279	AF017281										1976			field	California						
Bluetongue vaccine monovalent serotype 2 Ondersterpoort, South Africa	UP		AF481096					AF481095			AF481094		South Africa				Ondersterpoort							
BN96/16	22106384	JN671906	JN671907	JN671908	JN671909	JN671910	JN671911	JN671912	JN671913	JN671914	JN671915	Ovis aries	China	1996			field	Yunnan	blood					
BOS2002/01	UP					AM778443						Ovis aries	Bosnia and Herzegovina	2002	AUG	14	field	Milici-Vlasenica-Srpska	blood	E1BHK3	Mammalian			
BOS2002/02	26252219	KP820958	KP821078	KP821200	KP821320	KP821440	KP821560	KP821682	KP821802	KP821922	KP822043	Ovis aries	Bosnia and Herzegovina	2002	AUG	14	field	Milici-Vlasenica-Srpska	blood	E1BHK3	Mammalian			
BOS2002/02	18570969		AJ585174				AJ586687		AM900377	EU220294		Ovis aries	Bosnia and Herzegovina	2002	AUG	14	field	Milici-Vlasenica-Srpska	blood	E1BHK3	Mammalian			
BRA2011/01	UP		KM110785									Bos taurus	Brazil	2011	FEB		field		semen	KC3	Culicoides sp.			
BRA2011/02	UP		KM110786									Bos taurus	Brazil	2011	MAR		field		semen	KC3	Culicoides sp.			
BT 57/08	UP	KP196603	KP196604	KP196605	KP196606	KP196607	KP196608	KP196609	KP196610	KP196611	KP196612	Vicugna pacos	South Africa	2008			field	Montagu-Western Cape	blood	E2BHK1	Mammalian			
BT_SP-Seg4-Sheeppox vaccine isolate	27171751				KU744639				KU744640	KU744641			Jordan				Sheeppox vaccine isolate			E2Vero?	Mammalian			
BT-HYD/04/IND	UP		JN704634				JN704635					Ovis aries	India				field	Andhra Pradesh						
BT1-2172	17706379										AY426598		Honduras				field							
BT1/IND	UP		JQ037811									Ovis aries	India				field		blood					
BT12-JAM2016	17706379										AY426595		Jamaica				field							
BT16/07	UP						JF980714					Ovis aries	India				field		blood					
BT17-198	17852347						DQ080910							1976			field	California						
BT17-199	17852347						DQ080911																	
BT17-283	17852347						DQ080912																	
BT17-283	17706379										AY426596		Puerto Rico				field							
BT17-298	17706379										AY426597		Puerto Rico				field							
BT17-299	17852347						DQ080913																	
BT17-300	17852347						DQ080914																	
BT17-ATCC	17852347						DQ080915																	
BT17L2-199	17852347		AY636071																					
BT17L2-240	17852347		AY636072																					
BT17L2-284	17852347		AY636073																					
BT17L2-285	17852347		AY636076																					
BT2	UP						JF899598					Ovis aries	India				field		blood					
BT2	UP		KC012519									Ovis aries	India				field		blood					
BT2-03	20428242	GQ506516	GQ506517	GQ506518	GQ506519	GQ506520	GQ506521	GQ506522	GQ506523	GQ506524	GQ506525	Ovis aries	South Africa				field		spleen					
BT24/84	UP	JX272369	JX272370	JX272371	JX272372	JX272373	JX272374	JX272375	JX272376	JX272377	JX272378		South Africa											
BT3-2058	17706379										AY426599		Costa Rica				field							
BT3-2165	17706379										AY426601		Trinidad and Tobago				field							
BT3-2230	17706379										AY426600		Guatemala				field							
BT32/76	UP	JX272439	JX272440	JX272441	JX272442	JX272443	JX272444	JX272445	JX272446	JX272447	JX272448		South Africa											
BT4-2227	17706379										AY426602		Dominican Republic				field							
BT6-2187	17706379										AY426603		Honduras				field							
BT71/77	UP	JX272419	JX272420	JX272421	JX272422	JX272423	JX272424	JX272425	JX272426	JX272427	JX272428		South Africa											
BT8-2215	17706379										AY426604		Dominican Republic				field							
BT87/59	UP	JX272479	JX272480	JX272481	JX272482	JX272483	JX272484	JX272485	JX272486	JX272487	JX272488		South Africa											
BTV 10 ATCC	9712508										AF044372	Ovis aries	USA	1953				California		?BHK?	Mammalian			
BTV 11 ATCC	9712508										AF044373	Ovis aries	USA	1962				Texas		?BHK?	Mammalian			
BTV 13 ATCC	9712508										AF044374	Bos taurus	USA	1967				Idaho		?BHK?	Mammalian			
BTV 17 ATCC	9712508										AF044375	Ovis aries	USA	1962				Wyoming		?BHK?	Mammalian			
BTV CA-8	2998117			M22096								Ovis aries	USA	1953				California						
BTV_TR1	19428746										EF554838	Ovis aries	Turkey	1999			field		blood	E?BHK?	Mammalian			
BTV_TR10	19428746										EF554847	Ovis aries	Turkey	2000			field		blood	E?BHK?	Mammalian			
BTV_TR11	19428746										EF554848	Ovis aries	Turkey	2000			field		blood	E?BHK?	Mammalian			
BTV_TR12	19428746										EF554849	Ovis aries	Turkey	2000			field		spleen	E?BHK?	Mammalian			
BTV_TR18	19428746										EF554850	Ovis aries	Turkey	1999			field		blood	E?BHK?	Mammalian			
BTV_TR19	19428746										EF554851	Ovis aries	Turkey	1999			field		blood	E?BHK?	Mammalian			
BTV_TR2	19428746										EF554839	Ovis aries	Turkey	1999			field		blood	E?BHK?	Mammalian			
BTV_TR20	19428746										EF554852	Ovis aries	Turkey	1999			field		blood	E?BHK?	Mammalian			
BTV_TR21	19428746										EF554853	Ovis aries	Turkey	2000			field		blood	E?BHK?	Mammalian			
BTV_TR22	19428746										EF554854	Ovis aries	Turkey	1999			field		blood	E?BHK?	Mammalian			
BTV_TR23	19428746										EF554855	Ovis aries	Turkey	2001			field		aborted fetus	E?BHK?	Mammalian			
BTV_TR24	19428746										EF554856	Ovis aries	Turkey	2001			field		spleen	E?BHK?	Mammalian			
BTV_TR25	19428746										EF554857	Ovis aries	Turkey	2001			field		blood	E?BHK?	Mammalian			
BTV_TR26	19428746										EF554858	Ovis aries	Turkey	2001			field		blood	E?BHK?	Mammalian			
BTV_TR3	19428746										EF554840	Ovis aries	Turkey	1999			field		blood	E?BHK?	Mammalian			
BTV_TR4	19428746										EF554841	Ovis aries	Turkey	1999			field		blood	E?BHK?	Mammalian			
BTV_TR5	19428746										EF554842	Ovis aries	Turkey	2000			field		spleen	E?BHK?	Mammalian			
BTV_TR6	19428746										EF554843	Ovis aries	Turkey	1999			field		blood	E?BHK?	Mammalian			
BTV_TR7	19428746										EF554844	Ovis aries	Turkey	1999			field		blood	E?BHK?	Mammalian			
BTV_TR8	19428746										EF554845	Ovis aries	Turkey	1999			field		spleen	E?BHK?	Mammalian			
BTV_TR9	19428746										EF554846	Ovis aries	Turkey	1999			field		blood	E?BHK?	Mammalian			
BTV-1 ALG2007	23838283					KC896848						Ovis aries	Algeria	2007			field		blood					
BTV-1 MOR2007	23838283					KC896849						Ovis aries	Morocco	2007			field		spleen					
BTV-1 SAD2006	23838283					KC896844						Ovis aries	Italy	2006			field	Sardinia	blood	KC1V2	Culicoides-Mammalian			
BTV-1 SAD2010	23838283					KC896845						Ovis aries	Italy	2010			field	Sardinia	blood	KC1V2	Culicoides-Mammalian			
BTV-1 SAD2013	24526649	KJ019205	KJ019206	KJ019207	KJ019208	KJ019209	KJ019210	KJ019211	KJ019212	KJ019213	KJ019214	Ovis aries	Italy	2013	OCT	26	field	Sardinia	blood	KC1BSR1	Culicoides-Mammalian			
BTV-1/11-01 (4074)	25301282	KY049843	KY049844	KY049845	KY049846	KY049847	KY049848	KY049849	KY049850	KY049851	KY049852	Bos taurus	French Guiana	2011	SEP	6	field		blood	E1BSR1	Mammalian			
BTV-1/15.01 (5370)	25301282	KY049853	KY049854	KY049855	KY049856	KY049857	KY049858	KY049859	KY049860	KY049861	KY049862	Bos taurus	French Guiana	2015	JUN	25	field		blood	KC1BSR1	Culicoides-Mammalian			
BTV-1/IND1985/01	26121128	KP696507	KP696508	KP696509	KP696510	KP696511	KP696512	KP696513	KP696514	KP696515	KP696516		India	1985			field			?BHK3	Mammalian			
BTV-1/IND1988/01	26121128	KP696517	AJ585113	KP696518	KP696519	KP696520	KP696521	KP696522	KP696523	KP696524	KP696525		India	1988	SEP	24	field			BHK11	Mammalian			
BTV-1/IND1992/02	26121128	KP696526	AJ585112	KP696527	KP696528	KP696529	KP696530	KP696531	KP696532	KP696533	KP696534		India	1992	NOV	3	field			E1BHK12	Mammalian			
BTV-1/IND1999/01	26121128	KP696535	AJ585114	KP696536	KP696537	KP696538	KP696539	KP696540	KP696541	KP696542	KP696543	Ovis aries	India	1999	AUG	6	field	Haryana		E2BHK10	Mammalian			
BTV-1/IND2001/01	26121128	KP696544	AJ585115	DQ186811	KP696545	KP696546	KP696547	KP696548	KP696549	KP696550	KP696551	Culicoides	India	2001	FEB	19	field	Chennai	Culicoides sp.	BHK9	Mammalian			
BTV-1/IND2003/04	26121128	KP696552	KP696553	KP696554	KP696555	KP696556	KP696557	KP696558	KP696559	KP696560	KP696561	Ovis aries	India	2003			field	Coimbatore-Tamil Nadu		BHK5E1BHK2	Mammalian			
BTV-1/IND2003/05	26121128	KP696562	KP696563	KP696564	KP696565	KP696566	KP696567	KP696568	KP696569	KP696570	KP696571	Ovis aries	India	2003			field	Thoothukudi-Tamil Nadu		BHK5E1BHK2	Mammalian			
BTV-1/IND2003/10	26121128	KP696572	KP696573	KP696574	KP696575	KP696576	KP696577	KP696578	KP696579	KP696580	KP696581		India	2003			field		blood	?BHK3	Mammalian			
BTV-1/IND2003/10	18570969									EU220290			India	2003			field		blood	?BHK3	Mammalian			
BTV-1/INDIA/TV/2000	UP										AY359961		India				field	Tamil Nadu						
BTV-11_DE	24750582	JQ972851	JQ972852	JQ972853	JQ972854	JQ972855	JQ972856	JQ972857	JQ972858	JQ972859	JQ972860	Bos taurus	Germany	2010			field							
BTV-11_MQ	24750582	JQ972861	JQ972862	JQ972863	JQ972864	JQ972865	JQ972866	JQ972867	JQ972868	JQ972869	JQ972870	Bos taurus	Martinique	2010			field		blood					
BTV-11_REF	24750582	JQ972831	JQ972832	JQ972833	JQ972834	JQ972835	JQ972836	JQ972837	JQ972838	JQ972839	JQ972840	Bos taurus		2010			reference							
BTV-11_VAC	24750582	JQ972841	JQ972842	JQ972843	JQ972844	JQ972845	JQ972846	JQ972847	JQ972848	JQ972849	JQ972850	Bos taurus		2010			vaccine							
BTV-12	UP		KP195138									Capra aegagrus hircus	China	2014	MAY	23	field		blood					
BTV-13/15-1(6)	28239988	KY049872	KX442584	KY049873	KY049874	KY049875	KY049876	KY049877	KY049878	KY049879	KY049880	Bos taurus	Ecuador	2015	JUN	1	field	Alluriquin	blood	KC1BSR1	Culicoides-Mammalian	No		
BTV-16	UP		KP195135									Capra aegagrus hircus	China	2013	MAY	7	field		blood					
BTV-18/15-1(58)	28239988	KY049881	KX442585	KY049882	KY049883	KY049884	KY049885	KY049886	KY049887	KY049888	KY049889	Bos taurus	Ecuador	2015	JUN	1	field	Cotundo	blood	KC1BSR1	Culicoides-Mammalian	No		
BTV-18/INDIA/TN/SIVAGANGAI/2001	UP										AY359960		India				field	Sivagangai-Tamil Nadu						
BTV-2/IND1993/01	26121128	KP696582	KP696583	KP696584	KP696585	KP696586	KP696587	KP696588	KP696589	KP696590	KP696591	Ovis aries	India	1993			field			?BHK2	Mammalian			
BTV-2/IND2000	28435199										KX650180	Ovis aries	India	2000			field		blood	?BHK?				
BTV-2/IND2003/01	26121128	KP696592	KP696593	KP696594	KP696595	KP696596	KP696597	KP696598	KP696599	KP696600	KP696601	Ovis aries	India	2003			field	Tiruneveli-Tamil Nadu		BHK5E1BHK3	Mammalian			
BTV-2/IND2003/03	26121128	KP696602	KP696603	KP696604	KP696605	KP696606	KP696607	KP696608	KP696609	KP696610	KP696611	Ovis aries	India	2003			field	Tiruneveli-Tamil Nadu		BHK5E1BHK3	Mammalian			
BTV-23/IND1997/01	26121128	KP696661		KP696662 	KP696663	KP696664	KP696665	KP696666	KP696667	KP696668	KP696669	Ovis aries	India	1997			field	Bangalore		E1V25BHK4	Mammalian			
BTV-23/IND2004/07	26121128	KP696670	KP696671	KP696672	KP696673	KP696674	KP696675	KP696676	KP696677	KP696678	KP696679		India	2004			field			?BHK3	Mammalian			
BTV-23/IND2004/08	26121128	KP696680	KP696681	KP696682	KP696683	KP696684	KP696685	KP696686	KP696687	KP696688	KP696689		India	2004			field							
BTV-23/IND2004/09	26121128	KP696690	KP696691	KP696692	KP696693	KP696694	KP696695	KP696696	KP696697	KP696698	KP696699		India	2004			field							
BTV-27/FRA2014/v02	27435041	KU760987	KU760988	KU760989	KU760990	KU760991	KU760992	KU760993	KU760994	KU760995	KU760996	Capra aegagrus hircus	France	2014			field	Corsica	blood	BSR2	Mammalian			
BTV-27/FRA2014/v03	27435041	KU760997	KU760998	KU760999	KU761000	KU761001	KU761002	KU761003	KU761004	KU761005	KU761006	Capra aegagrus hircus	France	2014			field	Corsica	blood	BSR2	Mammalian			
BTV-2IT(H)	21865388	JN255872	JN255873	JN255874	JN255875	JN255876	JN255877	JN255878	JN255879	JN255880	JN255881	Ovis aries	Italy	2000			field	Sardinia	spleen	E1V1BHK55PP2BSR1	Mammalian			
BTV-2IT(L)	21865388	JN255862	JN255863	JN255864	JN255865	JN255866	JN255867	JN255868	JN255869	JN255870	JN255871	Ovis aries	Italy	2000			field	Sardinia	spleen	E1V1BHK3BSR1	Mammalian			
BTV-2IT2000	24991012	KM053268	KM053269	KM053270	KM053271	KM053272	KM053273	KM053274	KM053275	KM053276	KM053277	Ovis aries	Italy	2000			field			?KCBHK2	Mammalian			
BTV-2RSA(vacc)	21865388	JN255932	JN255933	JN255934	JN255935	JN255936	JN255937	JN255938	JN255939	JN255940	JN255941	Ovis aries	South Africa				vaccine			E50-70PP3BHK?BSR1	Mammalian			
BTV-2RSA(WT)	21865388	JN255922	JN255923	JN255924	JN255925	JN255926	JN255927	JN255928	JN255929	JN255930	JN255931	Ovis aries	South Africa				reference	Transvaal		?E2BHK4V6BSR1	Mammalian			
BTV-3 TUN2016/Zarzis	29386141	MF124292	MF124293	MF124294	MF124295	MF124296	MF124297	MF124298	MF124299	MF124300	MF124301	Ovis aries	Tunisia	2016	NOV	8	field	Zarzis - Soufien Sghaier - Governorate of Medenine	blood	KC1Vero1	Culicoides-Mammalian	yes		
BTV-4 TUN2007	23838283					KC896846						Ovis aries	Tunisia	2007			field		spleen					
BTV-4 TUN2009	23838283					KC896847						Ovis aries	Tunisia	2009			field		spleen					
BTV-4/16-03	28497659	KY654328	KY654329	KY654330	KY654331	KY654332	KY654333	KY654334	KY654335	KY654336	KY654337	Ovis aries	France	2016	DEC	13	field	Corsica	blood	KC1BSR1	Culicoides-Mammalian	yes		
BTV-4IT(H)	21865388	JN255892	JN255893	JN255894	JN255895	JN255896	JN255897	JN255898	JN255899	JN255900	JN255901	Ovis aries	Italy	2003			field	Sardinia	blood	E1V1BHK73PP2BSR1	Mammalian			
BTV-4IT(L)	21865388	JN255882	JN255883	JN255884	JN255885	JN255886	JN255887	JN255888	JN255889	JN255890	JN255891	Ovis aries	Italy	2003			field	Sardinia	blood	E1V1BHK1BSR1	Mammalian			
BTV-4RSA(WT)	21865388	KM233614	KM233615	KM233616	KM233617	KM233618	KM233619	KM233620	KM233621	KM233622	KM233623		South Africa							E20	Mammalian			
BTV-8/ISR-1741/15			KX977572									Bos taurus	Israel	2015	OCT	10	field		blood					
BTV-8/ISR-1742/15			KX977573									Bos taurus	Israel	2015	OCT	10	field		blood					
BTV-8/ISR-1949/15			KX977574									Ovis aries	Israel	2015	OCT	2	field		blood					
BTV-8/ISR-2053/15			KX977575									Bos taurus	Israel	2015	OCT	12	field		blood					
BTV-8/ISR-2096/6/15			KX977576									Capra aegagrus hircus	Israel	2015	OCT	25	field		blood					
BTV-8/ISR-2116/15			KX977577									Bos taurus	Israel	2015	NOV	5	field		blood					
BTV-8/ISR-2187/15			KX977578									Bos taurus	Israel	2015	NOV	15	field		blood					
BTV-8/ISR-2261/15			KX977579									Bos taurus	Israel	2015	NOV	25	field		blood					
BTV-8/ISR-2320/2/15			KX977580									Ovis aries	Israel	2015	DEC	10	field		blood					
BTV-8/NLD/2008	19264638	FJ183374	FJ183375	FJ183376	FJ183377	FJ183378	FJ183379	FJ183380	FJ183381	FJ183382	FJ183383		Netherlands				field			KC1BHK3	Culicoides-Mammalian			
BTV-8IT2008	24991012	KM053258	KM053259	KM053260	KM053261	KM053262	KM053263	KM053264	KM053265	KM053266	KM053267	Ovis aries	Italy	2008			field			?KCBHK2	Mammalian			
BTV-9/15-1(7)	28239988	KY049863	KX442583	KY049864	KY049865	KY049866	KY049867	KY049868	KY049869	KY049870	KY049871	Bos taurus	Ecuador	2015	JUN	1	field	Alluriquin	blood	KC1BSR1	Culicoides-Mammalian	No		
BTV-9/IND2004/02	26121128	KP696612	KP696613	KP696614	KP696615	KP696616	KP696617	KP696618	KP696619	KP696620	KP696621		India	2004			field	Andhra Pradesh	blood	?BHK3	Mammalian			
BTV-9/IND2004/04	26121128	KP696622	KP696623	KP696624	KP696625	KP696626	KP696627	KP696628	KP696629	KP696630	KP696631		India	2004			field	Hyderabad	blood	?BHK3	Mammalian			
BTV-9/IND2005/01	26121128	KP696632	KP696633	KP696634	KP696635	KP696636	KP696637	KP696638		KP696639	KP696640		India	2005			field	Hyderabad	blood	?BHK3	Mammalian			
BTV-9/IND2005/02	26121128	KP696641	KP696642	KP696643	KP696644	KP696645	KP696646	KP696647	KP696648	KP696649	KP696650		India	2005			field	Hyderabad		?BHK3	Mammalian			
BTV-9/IND2005/03	26121128	KP696651	KP696652	KP696653	KP696654	KP696655	KP696656	KP696657	KP696658	KP696659	KP696660		India	2005			field	Hyderabad		?BHK3	Mammalian			
BTV-9IT(H)	21865388	JN255912	JN255913	JN255914	JN255915	JN255916	JN255917	JN255918	JN255919	JN255920	JN255921	Ovis aries	Italy	2000			field	Calabria	blood	E1V37PP2BSR1	Mammalian			
BTV-9IT(L)	21865388	JN255902	JN255903	JN255904	JN255905	JN255906	JN255907	JN255908	JN255909	JN255910	JN255911	Ovis aries	Italy	2000			field	Calabria	blood	E1V2BSR1	Mammalian			
BTV-9RSA(vacc)	21865388	JN255962	JN255963	JN255964	JN255965	JN255966	JN255967	JN255968	JN255969	JN255970	JN255971	Ovis aries	South Africa	1942			vaccine	Transvaal		E70BHK2PP1BHK3PP7BHK6BSR1	Mammalian			
BTV-9RSA(WT)	21865388	JN255952	JN255953	JN255954	JN255955	JN255956	JN255957	JN255958	JN255959	JN255960	JN255961	Ovis aries	South Africa	1942			reference	Transvaal		?E20V1BSR1	Mammalian			
BTV-VP1-2478-07	UP	JN546203										Ovis aries	Israel	2007	OCT		field							
BTV-VP1-2481-08	UP	JN546204										Bos taurus	Israel	2008	DEC		field							
BTV-VP1-2496-08	UP	JN546211										Ovis aries	Israel	2008	DEC		field							
BTV-VP1-2837-10	UP	JN546205										Bos taurus	Israel	2010	OCT		field							
